順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
38,36,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 海南市,300004_011400_hinanjo,ab102764-0c04-4ea4-b6a1-f36024b42182
39,36,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 岩出市,300004_011400_hinanjo,37264591-d423-4694-ba25-f4305fa78a4c
40,36,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 かつらぎ町,300004_011400_hinanjo,4aff7c56-e013-4c4a-b917-d7e85ca0c595
41,36,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 有田川町,300004_011400_hinanjo,cdbd27a4-b3a2-4c42-be9a-1ca5f59c608f
42,36,和歌山県,【和歌山県】令和4年度　和歌山県公共交通機関等資料集,０　表紙、目次等.xls,300004_020500_traffic,73d30e91-e305-4f80-9a1c-f8970426342a
43,36,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,令和２年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,5fbd5c12-ae16-49f0-9c1b-343fd62f6a6f
44,36,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１月,300004_020400_kenmin_tomo_r4_event,5e48cfde-7677-4ef5-89c3-dadd69f0db05
45,36,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１１月,300004_020400_kenmin_tomo_r4_event,1de64495-25a0-4803-9eb8-0303f7693611
46,36,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１０月,300004_020400_kenmin_tomo_r4_event,d34b5492-c7e6-42eb-b154-18848aed7d9c
47,36,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　４月,300004_020400_kenmin_tomo_r4_event,2ae77078-3d9e-4ab1-9ff2-3bde3b8420a0
48,36,和歌山県,【和歌山県】電子申請利用状況,令和元年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,42c40fe8-e758-4c4f-a02d-c9fb51a2591b
49,36,和歌山県,【和歌山県】県内農耕地土壌のデータ一覧,県内農耕地土壌のデータ一覧,300004_noushikankyo,7b7d8e4a-5a19-494e-96cc-01435e508c73
50,36,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２４年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,3df02798-a780-44a6-a2db-ec0e7fe3dfcd
51,36,和歌山県,【和歌山県】平成30年度県民経済計算,1-2　県民可処分所得と使用勘定,300004_020300_kenminkeizai,1d2ee369-12ba-4bfc-8abd-c4aa0922b784
52,36,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（デフレーター：連鎖方式）（実数）,300004_020300_kenminkeizai,c00cf005-6c83-49c5-a754-c39f9f404ae3
53,36,和歌山県,【和歌山県】平成30年度県民経済計算,主-2　県民所得（分配）（対前年度増加率）,300004_020300_kenminkeizai,f22abe89-7631-4bbc-b4b6-172c0339b4a3
54,36,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、名目）（構成比）,300004_020300_kenminkeizai,ced90ff3-9b8b-46a8-b887-babde68f502b
55,36,和歌山県,【和歌山県】平成30年度県民経済計算,付-3　一般政府から家計への移転明細表（社会保障関係）,300004_020300_kenminkeizai,d76ae22a-0c63-4554-95ff-157548a9444b
56,36,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　6月,300004_020400_kenmin_tomo_r3_event,e2cbc8b5-b2ed-4493-b29c-f2a42755bd82
57,36,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和3年度刊行県民の友（催し）　１０月,300004_020400_kenmin_tomo_r3_event,27b5dcab-2087-4f29-9df5-0a9ccd0fcc0e
58,36,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　１２月,300004_020400_kenmin_tomo_r3_event,f3595daa-4c61-4978-97e1-a2978cd1113e
59,36,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　３月,300004_020400_kenmin_tomo_r3_event,8330ddc2-ee64-41a1-8067-0007b1cb1305
60,36,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　4月,300004_020400_kenmin_tomo_r2_event,d8159861-4fdb-4590-ae78-187365d97d0b
61,36,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　5月,300004_020400_kenmin_tomo_r2_event,16738b02-b8c7-4899-8d94-4df77711d01b
62,36,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　6月,300004_020400_kenmin_tomo_r2_event,bfcf818a-a86c-4844-82c0-8ae2db72d651
63,36,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　8月,300004_020400_kenmin_tomo_r2_event,81bd3166-6f56-4eed-afbb-9ae82ec4ef6c
64,36,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　9月,300004_020400_kenmin_tomo_r2_event,b6d86c9a-99a0-48b6-a7b6-f4d828a8d830
65,36,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　３月,300004_020400_kenmin_tomo_r2_event,678cf438-1680-46d6-b8af-118795bbd134
66,36,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_h31_news,2def85e5-e1ee-4472-b6f7-85891a90fd2c
67,36,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_h31_news,4b68845d-234c-4296-8b2c-79b596e666ca
68,36,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h31_news,e790409c-bfd3-4917-9333-df7d12d49929
69,35,和歌山県,【和歌山県】データセットリスト,2023年1月のデータセット一覧,300004_dataset_list,bda77270-1abb-4056-9cdf-75e9d7a7fc6a
70,35,和歌山県,【和歌山県】データセットリスト,2021年10月のデータセット一覧,300004_dataset_list,5dc56949-6686-4110-bd1e-362907e4ee6c
71,35,和歌山県,【和歌山県】アクセス状況,2022年11月の閲覧数,300004_status,c07b05fe-b36f-4998-a7a0-9d581d78463d
72,35,和歌山県,【和歌山県】アクセス状況,2022年10月の閲覧数,300004_status,0ea71249-857c-4c23-b506-332a55cf315d
73,35,和歌山県,【和歌山県】アクセス状況,2021年10月の閲覧数,300004_status,e4a06109-d072-4f11-bf0b-6300b5440fba
74,35,和歌山県,【和歌山県】アクセス状況,2022年04月のダウンロード数,300004_status,1c5e57e6-5956-4ec9-9053-b6803562eb3b
75,35,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 串本町,300004_011400_hinanjo,6aa87117-81fe-4216-a9e7-d6f0340c28ec
76,35,和歌山県,【和歌山県】県民の友（見出し）一覧,【和歌山県】県民の友_見出し一覧（エクセル）,300004_022101_kenminnotomo_midashi,93e2b133-21ab-4d02-a587-00835a75e77b
77,35,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　９月,300004_020400_kenmin_tomo_r4_event,7144d718-cf83-4849-b0aa-19edb06add3b
