順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
476,32,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h30_news,215b061c-6dc5-40ba-bf23-cabe63382473
477,32,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h30_news,627ade3e-5781-4b43-b390-13e102abbc10
478,32,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　5月　,300004_020400_kenmin_tomo_h30_event,ec9fbb37-b969-428d-b32c-5733d693a9e1
479,32,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　8月　,300004_020400_kenmin_tomo_h30_event,c330efd1-5fb6-4f8a-9bca-390fedd4ca8e
480,32,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　12月　,300004_020400_kenmin_tomo_h30_event,3b22ab42-71d6-4bac-ae76-51669f62a0e8
481,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_h29_news,2fb54c59-0f5f-419c-8c0a-354134db36dd
482,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h29_news,3c570443-e9d4-4da7-be6c-bbf7c1805b23
483,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h29_news,6e70c045-b4f6-46e7-af60-ebf5d7825d96
484,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h29_news,5685df6d-90ac-49e6-ae7b-14b073fc0fc9
485,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　5月,300004_020400_kenmin_tomo_h29_event,5ef77c91-a751-46b5-9684-ff7b287101b6
486,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　5月,300004_020400_kenmin_tomo_h29_event,f78803ed-ccaf-4e55-816b-febfd632f653
487,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　7月,300004_020400_kenmin_tomo_h29_event,5e9cc2a7-bde7-4042-a1aa-f9933b41791a
488,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　8月,300004_020400_kenmin_tomo_h29_event,7c3bd680-41c6-434f-8fcb-105d51ad7155
489,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　9月,300004_020400_kenmin_tomo_h29_event,419416a1-6f44-41db-87b7-cf9690b72261
490,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　10月,300004_020400_kenmin_tomo_h29_event,bf56ef7d-d566-4976-815a-0bd466bdbaaf
491,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　11月,300004_020400_kenmin_tomo_h29_event,39728f46-82ba-4780-9a3e-db463646f40a
492,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　11月,300004_020400_kenmin_tomo_h29_event,6c201771-8373-4361-9223-6bc22a6d5c25
493,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　1月　,300004_020400_kenmin_tomo_h29_event,f4153804-93c2-47f4-992b-3d8b18e6ec65
494,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　2月　,300004_020400_kenmin_tomo_h29_event,6dfb58ec-9609-4b67-bfaa-b7d7ce5bb615
495,32,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　3月　,300004_020400_kenmin_tomo_h29_event,3cf86f30-1b78-4832-8d2a-a05d807b62dc
496,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h28_news,752ba6e9-0c27-455d-bdf9-028fa403b376
497,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h28_news,58c2222b-bac3-4309-b0d2-f639ffefc2a0
498,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h28_news,66289b0e-0655-4bb9-9a76-320536202e57
499,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　10月,300004_020400_kenmin_tomo_h28_event,02ece298-91be-401c-b40f-e2feae54540b
500,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　11月,300004_020400_kenmin_tomo_h28_event,d7d73057-56ee-4216-8874-547b03f7f87d
501,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　11月,300004_020400_kenmin_tomo_h28_event,745a0b77-c0c8-4ce1-8eac-3617f9604102
502,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　12月,300004_020400_kenmin_tomo_h28_event,7145784f-78e6-463d-8e1c-6cf37a1c1a1f
503,32,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　2月,300004_020400_kenmin_tomo_h28_event,f3678f60-16ae-4e44-8fe9-f803729a514f
504,31,和歌山県,【和歌山県】和歌山県立図書館（本館・紀南分館）の年間貸出ランキング,令和3年度和歌山県立紀南図書館貸出ランキング（一般）,300004_500601_tosho_kashidashi,001995d9-6879-444a-b497-4198968759e9
505,31,和歌山県,【和歌山県】和歌山県立図書館（本館・紀南分館）の年間貸出ランキング,令和3年度和歌山県立図書館貸出ランキング（一般）,300004_500601_tosho_kashidashi,6aab0800-5640-4d50-9e48-de4d76dc5335
506,31,和歌山県,【和歌山県】和歌山県立図書館（本館・紀南分館）の年間貸出ランキング,令和3年度和歌山県立図書館貸出ランキング（児童書）,300004_500601_tosho_kashidashi,cf0dc8fa-2542-4f7a-91eb-e95deaeaa645
507,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 橋本市,300004_011400_hinanjo,f84875f7-068f-4384-872d-7917afee9f56
508,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 紀美野町,300004_011400_hinanjo,0e873e4f-f41a-482a-804f-347462c1a58a
509,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 湯浅町,300004_011400_hinanjo,05621d2f-12de-4df6-a5c5-fb4a9e5aa561
510,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 美浜町,300004_011400_hinanjo,2818da75-3022-4bde-9843-e363cb5c1c23
511,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 日高町,300004_011400_hinanjo,1d98b4b9-0e8c-483e-980e-9613a60259d8
512,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 由良町,300004_011400_hinanjo,ac480168-61ca-4627-a3ee-a52b84b75614
513,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 すさみ町,300004_011400_hinanjo,db85d789-e423-4b0f-b4b9-2c72fca21597
514,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 那智勝浦町,300004_011400_hinanjo,dc2ede5b-263a-4ad7-85c7-9057e6beae9c
515,31,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 北山村,300004_011400_hinanjo,23192f39-0ec6-4430-adef-8f38bda59098
516,31,和歌山県,【和歌山県】令和4年度　和歌山県公共交通機関等資料集,２　自動車交通（P23～55） .xls,300004_020500_traffic,bac1d5d6-dead-481c-9423-cca46fb828f3
517,31,和歌山県,【和歌山県】令和4年度　和歌山県公共交通機関等資料集,３　航空・航路(P56～64).xls,300004_020500_traffic,52b12c87-ed1e-41cf-ad7e-ed0a8a7fad53
518,31,和歌山県,【和歌山県】令和4年度　和歌山県公共交通機関等資料集,４　参考(P65～75).xls,300004_020500_traffic,56f66aa1-3d09-41e0-bf5d-7fd2968e3bb0
519,31,和歌山県,【和歌山県】病害虫発生予察事業年報,令和2年度病害虫発生予察事業年報,300004_hasseiyosatsu,1ab210b0-992d-44e4-b72c-2ab52cee2966
520,31,和歌山県,【和歌山県】病害虫発生予察事業年報,令和元年度病害虫発生予察事業年報,300004_hasseiyosatsu,6586524b-c906-42d1-9605-69eb9e48a201
521,31,和歌山県,【和歌山県】病害虫発生予察事業年報,平成30年度病害虫発生予察事業年報,300004_hasseiyosatsu,9b579169-5fb0-454d-9c76-9d44f52587f4
522,31,和歌山県,【和歌山県】病害虫発生予察事業年報,平成29年度病害虫発生予察事業年報,300004_hasseiyosatsu,43e95fe2-9851-4876-9ec6-1cb84c7d011e
523,31,和歌山県,【和歌山県】病害虫発生予察事業年報,平成28年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,5d74933d-a772-4ed5-9a15-eca6f9c3ecae
524,31,和歌山県,【和歌山県】病害虫発生予察事業年報,平成26年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,98baed76-ab6d-47af-a6a5-47a9bdc59bdc
525,31,和歌山県,【和歌山県】病害虫発生予察事業年報,平成25年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,f0becd05-e999-457d-b538-9b2261768931
526,31,和歌山県,【和歌山県】病害虫発生予察事業年報,平成23年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,f826b001-5cbd-4675-b6d3-8e4069493cc1
527,31,和歌山県,【和歌山県】病害虫発生予察事業年報,令和22年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,82d2c2b9-bd58-4a37-a10b-d92016c4dee0
528,31,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,令和3年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,6fcb0a32-8834-4250-8626-67bcbe18e6ff
529,31,和歌山県,【和歌山県】人事委員会勧告参考資料,令和４年職員の給与等に関する報告及び勧告（参考資料（３生計費関係））,300004_kankokusankousiryou,cd249f3c-e6a0-455d-b916-4a3b24b380d5
530,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　３月,300004_020400_kenmin_tomo_r4_event,c378550a-db83-453e-a39d-7532619f1aa0
531,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１０月,300004_020400_kenmin_tomo_r4_event,cb3b3fa9-fdc8-437b-adb2-b6268fefb4cd
532,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　９月,300004_020400_kenmin_tomo_r4_event,291e9376-0a27-46ad-a5b5-974d60ff18e1
533,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　８月,300004_020400_kenmin_tomo_r4_event,c04aeb72-9261-4b1b-b75c-1acef8638a0c
534,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　７月,300004_020400_kenmin_tomo_r4_event,7f062933-2b4d-4020-a7b7-a2110a2db693
535,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　５月,300004_020400_kenmin_tomo_r4_event,c99f8b69-cb1a-45b2-81e9-2a55432d7c2b
536,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　４月,300004_020400_kenmin_tomo_r4_event,37f2f7c1-727f-4a49-a9ae-7cb9c1adc0bb
537,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　２月,300004_020400_kenmin_tomo_r4_event,21843b01-6d00-44f1-9fea-e300f53e999c
538,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１１月,300004_020400_kenmin_tomo_r4_news,4386b56e-4aad-4843-bb55-92297472902a
539,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１０月,300004_020400_kenmin_tomo_r4_news,e66ebae7-5bff-41a5-a374-7b6bb5b5a95b
540,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）３月,300004_020400_kenmin_tomo_r4_news,f7ec08fc-18b1-4f6f-a9a1-8fb91c7542f1
541,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）２月,300004_020400_kenmin_tomo_r4_news,a41a81c1-94d3-4c77-94dc-dbbc9123d08d
542,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１０月,300004_020400_kenmin_tomo_r4_news,7be7ad2f-3b74-4e83-ae81-a46340dd0e17
543,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）９月,300004_020400_kenmin_tomo_r4_news,de28bff1-b816-46b6-9995-261c9fcd1099
544,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）７月,300004_020400_kenmin_tomo_r4_news,d7082786-70f6-4e87-a9e5-f340ef7554f2
545,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）６月,300004_020400_kenmin_tomo_r4_news,473e8696-825b-40c3-9c5b-a793bf689b1c
546,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）５月,300004_020400_kenmin_tomo_r4_news,1d93818c-4a24-4ce6-9f7a-981f0bd03977
547,31,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）４月,300004_020400_kenmin_tomo_r4_news,6fbba63c-663a-43aa-9adf-902124948b8d
548,31,和歌山県,【和歌山県】市町村別汚水処理人口普及率,R3年度末和歌山県市町村別汚水処理人口普及率.csv,300004_osuisyori,991628e9-4fc2-45e6-8aa1-37921059b6bb
549,31,和歌山県,【和歌山県】市町村別汚水処理人口普及率,R3年度末和歌山県市町村別汚水処理人口普及率（グラフ）.pdf,300004_osuisyori,beeec8d0-c595-4ee3-8257-acfe33e2c3fb
550,31,和歌山県,【和歌山県】福祉保健施設一覧,1-(1)(2)生活保護施設,300004_fukushishisetu,a0619755-a685-4248-abe4-824505a11da0
551,31,和歌山県,【和歌山県】福祉保健施設一覧,2-(10)児童福祉施設等,300004_fukushishisetu,4012f223-1a15-490f-9961-71d6d38d8487
552,31,和歌山県,【和歌山県】福祉保健施設一覧,2-(12)(13)児童福祉施設等,300004_fukushishisetu,b82f449f-93f6-4ff4-a383-17df0a59385c
553,31,和歌山県,【和歌山県】福祉保健施設一覧,2-(14)児童福祉施設等,300004_fukushishisetu,bed79ad3-c685-4163-988a-fcdf4fd58ea3
554,31,和歌山県,【和歌山県】福祉保健施設一覧,3-(4)老人福祉施設,300004_fukushishisetu,ce0d44a3-9a13-4b23-9cbf-de2b6055032f
555,31,和歌山県,【和歌山県】福祉保健施設一覧,3-(5)老人福祉施設,300004_fukushishisetu,c5ee9bb9-f4ee-4eb7-9480-b5752ef3333d
556,31,和歌山県,【和歌山県】福祉保健施設一覧,3-(10)老人福祉施設,300004_fukushishisetu,51fc7d1d-1b67-41ad-9954-0a229f428fe8
557,31,和歌山県,【和歌山県】福祉保健施設一覧,4-(8)介護保険施設等,300004_fukushishisetu,3c779a72-e1ff-4cb0-be93-c12ec571341c
558,31,和歌山県,【和歌山県】福祉保健施設一覧,5-(9)障害福祉サービス等（新事業体系のサービス）,300004_fukushishisetu,4d6b0a69-43c5-4d5b-96b7-f11e8b32540b
559,31,和歌山県,【和歌山県】福祉保健施設一覧,6-(1)～(6)その他の施設（障害福祉関係）,300004_fukushishisetu,bc1aed41-f874-4eaf-b8cd-c6d57f46fc04
560,31,和歌山県,【和歌山県】福祉保健施設一覧,7 婦人保護施設,300004_fukushishisetu,5373131f-b0b1-4c67-afa5-56e509c2d1ee
561,31,和歌山県,【和歌山県】福祉保健施設一覧,8-(1)社会福祉一般施設,300004_fukushishisetu,1b46044f-182e-4dee-8b55-23b08bf2b0dd
562,31,和歌山県,【和歌山県】福祉保健施設一覧,8-(3)社会福祉一般施設,300004_fukushishisetu,16c9f786-4a8a-412a-a5e1-80bee0a38c6e
563,31,和歌山県,【和歌山県】福祉保健施設一覧,8-(4)(5)社会福祉一般施設,300004_fukushishisetu,90289c4a-89a2-4297-906d-488407e8c9f1
564,31,和歌山県,【和歌山県】福祉保健施設一覧,9 市町村保健センター,300004_fukushishisetu,34a762d0-a82c-4896-8cda-e227ca7c87a5
565,31,和歌山県,【和歌山県】福祉保健施設一覧,10-(1)～(3)医療関係施設等,300004_fukushishisetu,5a17096d-59c9-497b-bc23-e73dc86205f1
566,31,和歌山県,【和歌山県】福祉保健施設一覧,10-(7)(8)医療関係施設等,300004_fukushishisetu,4792b7f4-50e8-48f0-815f-be95afe9da51
567,31,和歌山県,【和歌山県】福祉保健施設一覧,10-(9)(10)医療関係施設等,300004_fukushishisetu,9f7c2011-24f0-42c9-86e3-146faff5b614
568,31,和歌山県,【和歌山県】福祉保健施設一覧,10-(11)医療関係施設等,300004_fukushishisetu,1c0654b0-4677-42ae-b831-be34184fe488
569,31,和歌山県,【和歌山県】福祉保健施設一覧,10-(12)(13)医療関係施設等,300004_fukushishisetu,5b237f8b-facd-4ede-955b-a3cbc23ffb70
570,31,和歌山県,【和歌山県】福祉保健施設一覧,10-(14)(15)医療関係施設等,300004_fukushishisetu,15ef13d5-fa33-4e71-8113-e7ec48914db1
571,31,和歌山県,【和歌山県】福祉保健施設一覧,11～15  看護師等養成施設～薬剤師養成施設,300004_fukushishisetu,c9c8c670-3540-4e12-bf9c-5aff24d0c319
572,31,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 1,300004_fukushishisetu,0c8ff4ef-1cbe-4822-ad07-48f1962d2cf6
573,31,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 23,300004_fukushishisetu,496731b0-96e9-4a41-9c75-caefe2b720de
574,31,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 9～11,300004_fukushishisetu,5f2bae63-b98d-41b0-8f6e-a955e9965a0a
575,31,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 1213,300004_fukushishisetu,bd24c47a-a1c0-428c-a467-8d2063ead510
576,31,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 14～16,300004_fukushishisetu,cce38b73-fa02-4f37-88ac-7c598f11fb34
577,31,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 17,300004_fukushishisetu,d0809f80-4405-42cd-9480-879dcfd94558
578,31,和歌山県,【和歌山県】福祉保健施設一覧,団体 1,300004_fukushishisetu,2aaf7881-ffd2-41ca-bcd4-2ac4d448125b
579,31,和歌山県,【和歌山県】福祉保健施設一覧,団体 2,300004_fukushishisetu,4b1fb37f-da35-40b4-959e-1d2a6a7ffd21
580,31,和歌山県,【和歌山県】福祉保健施設一覧,団体 3,300004_fukushishisetu,dcaf083a-24c4-46f1-8e7f-44cf72b369f0
581,31,和歌山県,【和歌山県】福祉保健施設一覧,団体 4,300004_fukushishisetu,4ce6c842-ca2e-4b48-96af-a746fbaaf7a7
582,31,和歌山県,【和歌山県】令和3年度　和歌山県公共交通機関等資料集,２　自動車交通（P23～55）.xls,300004_publictransport_sources,19989e94-6be9-4c97-90f8-27590c312a70
583,31,和歌山県,【和歌山県】令和3年度　和歌山県公共交通機関等資料集,３　航空・航路(P56～64).xls,300004_publictransport_sources,e09184ab-f604-4053-8ad3-63b66a0c6efe
584,31,和歌山県,【和歌山県】令和3年度　和歌山県公共交通機関等資料集,４　参考（P65～75）.xls,300004_publictransport_sources,3bfd8391-9deb-4151-bb3a-43eb75901cb1
585,31,和歌山県,【和歌山県】電子申請利用状況,平成25年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,732a85d0-e531-46f7-b9f8-eaa17fcb4393
586,31,和歌山県,【和歌山県】電子申請利用状況,平成27年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,2697c4b3-f6e9-440b-8eca-d6751f674112
587,31,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 橋本川浸水想定（想定最大規模）,300004_kasenka01,341cc70f-9654-40f6-8cd5-296562c3f4c8
588,31,和歌山県,【和歌山県】洪水浸水想定区域図,日方川水系 日方川浸水想定（想定最大規模）,300004_kasenka01,9a190a4a-67c8-4a7c-8da1-46db8cf76526
589,31,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 貴志川浸水想定（想定最大規模）,300004_kasenka01,9b82a089-13f7-4ac1-80e8-576b4fede454
590,31,和歌山県,【和歌山県】洪水浸水想定区域図,有田川水系 有田川浸水想定（想定最大規模）,300004_kasenka01,b06d2193-dec5-4985-bcbc-aa2be7309f92
591,31,和歌山県,【和歌山県】洪水浸水想定区域図,山田川水系 山田川浸水想定（想定最大規模）,300004_kasenka01,6197baf1-623e-4974-8698-eff45ac99402
592,31,和歌山県,【和歌山県】洪水浸水想定区域図,由良川水系 由良川浸水想定（想定最大規模）,300004_kasenka01,388b11c2-7f0b-4b6b-8b09-89f1606c1ddc
593,31,和歌山県,【和歌山県】洪水浸水想定区域図,印南川水系 印南川浸水想定（想定最大規模）,300004_kasenka01,c7fa569f-822b-4486-acb6-01774bb143ab
594,31,和歌山県,【和歌山県】洪水浸水想定区域図,南部川水系 南部川浸水想定（想定最大規模）,300004_kasenka01,5ddccab9-5323-47db-8a4d-5040721ee1eb
595,31,和歌山県,【和歌山県】洪水浸水想定区域図,富田川水系 富田川浸水想定（想定最大規模）,300004_kasenka01,db67a418-ce30-48a6-aa9b-16b66c27ef5d
596,31,和歌山県,【和歌山県】洪水浸水想定区域図,周参見川水系 周参見川浸水想定（想定最大規模）,300004_kasenka01,7a403bbe-8100-45c6-b634-07531e962f58
597,31,和歌山県,【和歌山県】洪水浸水想定区域図,太田川水系 太田川浸水想定（想定最大規模）,300004_kasenka01,e65a1e13-0001-49e5-8cf1-669177f063a7
598,31,和歌山県,【和歌山県】洪水浸水想定区域図,那智川水系 那智川浸水想定（想定最大規模）,300004_kasenka01,ff0523d7-a709-498a-a0f3-f5921fd7e30e
599,31,和歌山県,【和歌山県】洪水浸水想定区域図,新宮川水系 熊野川（日足区間）浸水想定（想定最大規模）,300004_kasenka01,3df94f85-3f0c-4ad3-9538-223b44c284f3
600,31,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 橋本川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,f4f1ae24-cc23-412b-9f23-7f67a4d746b1
601,31,和歌山県,【和歌山県】洪水浸水想定区域図,亀の川水系 亀の川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,c9fa9729-ddde-47fa-823a-6e334d4c87c7
602,31,和歌山県,【和歌山県】洪水浸水想定区域図,日方川水系 日方川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,6d7010e9-542b-44af-a31a-7ee042995bc2
603,31,和歌山県,【和歌山県】洪水浸水想定区域図,加茂川水系 加茂川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,1806b80b-e64e-4f93-8b04-48ae6dd906ef
604,31,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 貴志川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,6afb7090-fe17-41d6-a129-24d7841ea2f8
605,31,和歌山県,【和歌山県】洪水浸水想定区域図,有田川水系 有田川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,a41aa91e-21c1-4e8a-b7e0-63d284878ab6
606,31,和歌山県,【和歌山県】洪水浸水想定区域図,山田川水系 山田川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,35fab1d8-55c7-4a83-afa3-a0713a26bd74
607,31,和歌山県,【和歌山県】洪水浸水想定区域図,広川水系 広川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,bd2703db-c9a6-4382-8b67-83579a38c103
608,31,和歌山県,【和歌山県】洪水浸水想定区域図,由良川水系 由良川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,ebeb3945-4eb4-4b10-9793-157a3b66ae27
609,31,和歌山県,【和歌山県】洪水浸水想定区域図,印南川水系 印南川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,7745f67d-b04f-4ee9-9e55-4830eea4c25b
610,31,和歌山県,【和歌山県】洪水浸水想定区域図,切目川水系 切目川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,149f88a7-2d68-4601-bd3e-3e8726be56b8
611,31,和歌山県,【和歌山県】洪水浸水想定区域図,南部川水系 南部川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,9744b730-1017-42ab-85a9-1dbd77767c64
612,31,和歌山県,【和歌山県】洪水浸水想定区域図,左会津川水系 左会津川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,624a0c8e-a3de-48d1-8ea8-e7d3533ead28
613,31,和歌山県,【和歌山県】洪水浸水想定区域図,富田川水系 富田川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,f242b0d1-3ca2-42e3-a4a6-6c9537ff1c3c
614,31,和歌山県,【和歌山県】洪水浸水想定区域図,日置川水系 日置川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,b627c024-cbca-4fe1-92c4-3cfcbe9ef810
615,31,和歌山県,【和歌山県】洪水浸水想定区域図,周参見川水系 周参見川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,3d53e520-4168-4be5-9050-8600c39ef21f
616,31,和歌山県,【和歌山県】洪水浸水想定区域図,太田川水系 太田川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,9d5bdca9-8909-4920-b59f-920ebcafb1aa
617,31,和歌山県,【和歌山県】洪水浸水想定区域図,新宮川水系 熊野川（本宮、日足）浸水想定（想定最大規模）シェープファイル,300004_kasenka01,8e41506b-fe5f-47cc-bc4d-309b4f2facfc
618,31,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 橋本川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,9880f40d-02f5-42fd-afc6-41540229e3df
619,31,和歌山県,【和歌山県】洪水浸水想定区域図,紀の川水系 和田川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,8180c138-3dcd-4bf1-bd7a-55698cc7332e
620,31,和歌山県,【和歌山県】洪水浸水想定区域図,亀の川水系 亀の川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,d368712d-ba84-4076-9ff6-d215a7851e8d
621,31,和歌山県,【和歌山県】洪水浸水想定区域図,日方川水系 日方川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,edebc787-2df4-4579-a22a-adb0b19997a3
622,31,和歌山県,【和歌山県】洪水浸水想定区域図,加茂川水系 加茂川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,a2160d01-64f1-47e0-895a-131fb25b72d4
